Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
A clareza mental é produto da coragem, e não o contrário.	Coragem, ação geram informações, que auxiliam o cérebro na navegação	A cama de Procusto	Taleb, Nassim Nicholas
"Uma sela de ouro em um pangaré doente parece piorar o problema; pompa e beleza superficial na forma tornam nauseante a ausência de substância."	Decoração modernista	A cama de Procusto	Taleb, Nassim Nicholas
O gênio de Benoît Mandelbrot está em alcançar a simplicidade estética sem recorrer à suavidade.	“Há muito esforço em tornar as coisas simples” Suavidade não requer esforço, é fácil.	A cama de Procusto	Taleb, Nassim Nicholas
A perspicácia seduz sinalizando inteligência sem nerdice.	É fazer perceber a sabedoria, e não querer que percebam.	A cama de Procusto	Taleb, Nassim Nicholas
As pessoas revelam muito mais sobre si mesmas quando mentem do que quando dizem a verdade.	A mentira expõe nossos maiores medos. Não tenha medo de expor sua fragilidade, seja real nas atitudes.	A cama de Procusto	Taleb, Nassim Nicholas
Para avaliar o valor de uma pessoa, ponha na balança a diferença entre o quanto ela foi impressionante no primeiro encontro e no mais recente.	Indica se a pessoa tentou se passar por outra no primeiro encontro	A cama de Procusto	Taleb, Nassim Nicholas
Nunca aceite um conselho de um vendedor, ou qualquer conselho que beneficie aquele que aconselha.	O vendedor se beneficia com aquele conselho. Nunca confie	A cama de Procusto	Taleb, Nassim Nicholas
Você tem o dever de gritar as verdades que deveriam ser gritadas mas são apenas sussurradas.	Não tenha medo de falar a verdade. O homem somente é livre quando tem poder sobre o que fala.	A cama de Procusto	Taleb, Nassim Nicholas
O homem ético concilia sua profissão com suas convicções, em vez de conciliar suas convicções com sua profissão. Isso tem sido cada vez mais raro desde a Idade Média.	Você não deve moldar suas convicções de acordo com sua ocupação atual, mas o contrário.	A cama de Procusto	Taleb, Nassim Nicholas
Confie mil vezes mais em quem é ávido por dinheiro do que em quem é ávido por credenciais.	Empresários vs. Cientistas	A cama de Procusto	Taleb, Nassim Nicholas
Assim como o cabelo tingido deixa os homens mais velhos menos atraentes, é o que você faz para esconder suas fraquezas que as torna repugnantes.	Seja homem, assuma suas fraquezas.	A cama de Procusto	Taleb, Nassim Nicholas
Para entender como uma coisa funciona, descubra como quebrá-la.	Pressione-a, jogue com o desconforto.	A cama de Procusto	Taleb, Nassim Nicholas
Quando estiver aturdido pela dúvida entre duas opções, não escolha nenhuma.	Evitar decisões forçadas e contextos mal formulados.  Necessário coragem para resistir a pressão e esperar um melhor momento.	A cama de Procusto	Taleb, Nassim Nicholas
Robustez é progresso sem impaciência.	Sedimentar a base	A cama de Procusto	Taleb, Nassim Nicholas
Para uma pessoa livre, a rota ideal — a mais oportunista — entre dois pontos nunca deve ser a mais curta.	Interessante, indica que a pessoa livre de verdade não sente a necessidade de buscar o caminho mais fácil, a porta larga.   Também diz sobre alguém que sabe aproveitar a vida, extrair o máximo de cada momento, não apenas implorando que ele acabe.   Na vocação, é às vezes perseguir situações fora da rota. Adquirir outras perspectivas.	A cama de Procusto	Taleb, Nassim Nicholas
É preciso ter sabedoria e autocontrole extraordinários para aceitar que muitas coisas têm uma lógica que não entendemos e mais inteligente que a nossa.	Aceitar somente o que entendemos é presumir que somos os mais inteligentes por aqui.	A cama de Procusto	Taleb, Nassim Nicholas
O conhecimento é subtrativo, não aditivo — é o que subtraímos (redução via aquilo que não funciona, o que não fazer), não o que adicionamos (o que fazer).	Em vez de acumular conhecimento, é limpar o terreno daquilo que sabemos que não funciona	A cama de Procusto	Taleb, Nassim Nicholas
Acredita-se que inteligência é perceber coisas que são relevantes (detectar padrões), mas, em um mundo complexo, a inteligência consiste em ignorar coisas que são irrelevantes (evitar falsos padrões).	Inteligência é ignorar coisas que são irrelevantes, que ocupam espaço mental.   Ideia parecida com foco, que nada mais é que diminuir distrações.	A cama de Procusto	Taleb, Nassim Nicholas
Os antigos sabiam muito bem que a única maneira de compreender os eventos era causá-los.	É desse jeito que o conhecimento teórico sempre foi produzido.	A cama de Procusto	Taleb, Nassim Nicholas
"O fraco mostra sua força e esconde suas fraquezas; o magnificente exibe suas fraquezas como ornamentos."	Não há sinal de grandeza maior que exibir suas fraquezas.	A cama de Procusto	Taleb, Nassim Nicholas
"Os medíocres lamentam mais as palavras que dizem do que seu próprio silêncio; homens mais admiráveis lamentam mais seu silêncio do que suas palavras; o magnificente não tem nada de que se arrepender."	Nunca se arrependa de nada.	A cama de Procusto	Taleb, Nassim Nicholas
O magnificente acredita em metade do que ouve e no dobro do que diz.	Eu acredito em metade do que me dizem e no dobro do que eu digo.	A cama de Procusto	Taleb, Nassim Nicholas
O primeiro e mais difícil passo para a sabedoria: evite a suposição-padrão de que as pessoas sabem o que querem.	As pessoas não sabem o que querem	A cama de Procusto	Taleb, Nassim Nicholas
"Evite, por todos os meios, palavras — ameaças, reclamações, justificativas, narrativas, reformulações, tentativas de ganhar discussões, súplicas; evite palavras!"	Palavras são substitutos da ação. Reclamar é terceirizar a responsabilidade. Justificar é a reação estética, correção é a reação prática.	A cama de Procusto	Taleb, Nassim Nicholas
O princípio geral da antifragilidade: é muito melhor fazer coisas que você não consegue explicar do que explicar coisas que não é capaz de fazer.	A teoria deriva da prática	A cama de Procusto	Taleb, Nassim Nicholas
Se algo parece irracional — e já é assim há muito tempo —, é provável que você tenha uma definição errada de racionalidade.	Se práticas se mantém vivas por séculos, provavelmente contém sabedoria e racionalidade oculta.    Racional é o que permanece de pé após o risco, a exposição e a seleção natural. A natureza é o ser mais racional que existe.	A cama de Procusto	Taleb, Nassim Nicholas
"Em qualquer fase, os seres humanos podem ansiar por dinheiro, conhecimento ou amor; às vezes por duas coisas, nunca por três."	Dinheiro e amor é o caso da vida adulta pragmática Conhecimento e dinheiro é o empreendedorismo jovem	A cama de Procusto	Taleb, Nassim Nicholas
"Os seres humanos têm necessidade de reclamar tanto quanto de respirar. Nunca os impeça; apenas manipule-os, controlando o alvo das reclamações, e lhes forneça motivos para reclamar. Eles vão reclamar, mas ficarão gratos."	Nunca impeça alguém de reclamar, apenas direcione e se puder, use ao seu favor.	A cama de Procusto	Taleb, Nassim Nicholas
"Sabedoria não é entender coisas (e pessoas); é saber o que elas podem fazer com você."	Introspecção	A cama de Procusto	Taleb, Nassim Nicholas
Isso nos leva a problemas de otário: quando o mapa não corresponde ao território, existe certa categoria de tolo — o hiperinstruído, o acadêmico, o jornalista, o leitor de jornais, o “cientista” mecanicista, o pseudoempirista, aqueles dotados do que chamo de “arrogância epistêmica”, essa maravilhosa capacidade de ignorar o que não viam, o inobservado — que entra em um estado de negação, imaginando o território como se ele se encaixasse em seu mapa.	Você quer ser o cara que estudou o mapa ou o que já trilhou os caminhos?	A cama de Procusto	Taleb, Nassim Nicholas
A constância dos sábios não é senão a arte de reprimir sua agitação no coração.	Quanto mais você se descobre, mais energia sobra, e portanto, mais responsabilidade em dissipá-la em esforços.	Reflexões ou sentenças e máximas morais (Grandes Ideias)	Rochefoucauld, François de La
Prometemos segundo nossas esperanças e cumprimos segundo nossos temores.	Sempre que você promete algo e cumpre menos que o combinado, tenha certeza que o MEDO foi o culpado.	Reflexões ou sentenças e máximas morais (Grandes Ideias)	Rochefoucauld, François de La
Um homem hábil deve regular o nível de seus interesses e atender cada um em sua ordem. Nossa avidez costuma perturbá-la, fazendo-nos correr em direção a tantas coisas a um só tempo que, por desejar demais as menos importantes, perdemos as mais consideráveis.	Se organizar diariamente de acordo com as PRIORIDADES das demandas: corpo, alma, trabalho.   As atividades com maior prioridade devem vir primeiro no dia, com a cabeça fresca.	Reflexões ou sentenças e máximas morais (Grandes Ideias)	Rochefoucauld, François de La
Toda decisão financeira que uma pessoa toma é fruto da informação que ela tem à disposição no momento, associada ao seu modelo mental único sobre a forma como o mundo funciona.	Querendo ou não, toda decisão financeira de alguém foi pensada. Pode não fazer sentido para você, mas para aquela pessoa, naquele momento, fez.	A psicologia financeira	Housel, Morgan
Essas pessoas podem estar mal-informadas. Podem ter informações incompletas. Podem ser ruins em matemática. Podem ter sido convencidas por propagandas enganosas. Podem não ter a menor ideia do que estão fazendo. Podem ter avaliado mal as consequências de suas atitudes. Tudo é possível. Mas cada decisão financeira que uma pessoa toma faz sentido para ela naquele momento e está de acordo com os parâmetros que ela própria determina.	A decisão financeira de alguém pode ser errada para você, mas ela fez de acordo com o pensamento que tinha na época e com as ferramentas disponíveis a ela.	A psicologia financeira	Housel, Morgan
É importante reforçar o quanto este conceito é recente: o plano 401(k) — a forma mais comum de poupança para aposentadoria nos Estados Unidos — não existia até 1978. A Roth IRA (individual retirement account, ou conta individual de aposentadoria) só surgiu em 1998. Se fosse uma pessoa, mal teria idade para beber. Não deveria ser motivo de espanto para ninguém o fato de muitos de nós sermos péssimos em guardar dinheiro para a aposentadoria. Ninguém aqui é maluco. Somos novatos, só isso.	Não sabemos poupar porque nunca fizemos isso	A psicologia financeira	Housel, Morgan
Bill Gates teve a sorte de um em um milhão ao estudar na inovadora Lakeside School. E seu parceiro de negócio teve o risco de um em um milhão, ao morrer num acidente de montanhismo antes de finalizar o ensino medio. Sorte e risco estão no mesmo patamar de grandeza, apenas em sentidos opostos.	O mundo é complexo demais para garantir que 100% das suas ações correspondam por 100% dos seus resultados. Necessário aceitar que os riscos tem o mesmo espaço que a sorte em nossas conquistas.	A psicologia financeira	Housel, Morgan
Empresas que vão à falência não se esforçaram o suficiente? Os investimentos que se provaram ruins foram mal planejados? Carreiras estagnadas são culpa da preguiça? Às vezes, sim. É óbvio. Mas em que medida? É difícil saber. Qualquer coisa que valha a pena conquistar tem probabilidade de sucesso inferior a 100%, e o risco é justamente o que acontece quando você vai parar no lado infeliz dessa equação.	O risco é um lembrete que o mundo está sempre sujeito a variáveis fora do nosso controle. Qualquer coisa que valha a pena conquistar tem probabilidade de sucesso inferior a 100%.	A psicologia financeira	Housel, Morgan
A revista Forbes não coloca na capa os investidores falidos que tomaram boas decisões, mas que, ainda assim, experimentaram o lado infeliz do risco. Porém, quase sempre coloca os investidores ricos que tomaram decisões corretas, ou até mesmo imprudentes, e tiveram sorte. Ambos lançaram a mesma moeda, que, por acaso, caiu com um lado diferente virado para cima. O aspecto perigoso disso é que todos nós estamos tentando aprender o que funciona e o que não funciona em relação ao dinheiro. Quais estratégias de investimento funcionam? Quais não funcionam? Quais estratégias de negócios funcionam? Quais não funcionam? Como ficar rico? Como evitar ficar pobre? Nossa tendência é tirar lições observando sucessos e fracassos e dizendo: “Faça o que fulana fez, evite o que beltrano	Nossa relação com o dinheiro ainda é muito recente, não temos respostas para a maioria das perguntas. Todos estamos experimentando na prática o que dá certo e o que não dá.	A psicologia financeira	Housel, Morgan
Da mesma forma, consideramos Mark Zuckerberg um gênio por ter recusado a oferta de 1 bilhão de dólares que o Yahoo! fez em 2006 pela sua empresa. Ele mirou no futuro e confiou em si mesmo. No entanto, as pessoas criticam com igual vigor o próprio Yahoo! por ter recusado uma grande oferta de compra por parte da Microsoft — aqueles idiotas deviam ter colocado o dinheiro no bolso enquanto ainda tinham tempo! Que lição fica para os empreendedores aqui? Não faço a menor ideia, porque risco e sorte têm contornos difíceis de definir.	Nos negócios e finanças é grande o papel da sorte e do risco, apesar de parecerem ocultos.	A psicologia financeira	Housel, Morgan
"Algumas pessoas nascem em famílias que valorizam a educação; outras, que são contra ela. Alguns nascem em economias florescentes que estimulam o empreendedorismo; outros nascem em meio à guerra e à miséria. Quero que você mereça e que conquiste o sucesso. Mas nunca se esqueça de que nem todo sucesso se deve ao trabalho duro, e nem toda pobreza se deve à preguiça. Tenha isso em mente antes de julgar as pessoas, inclusive você mesmo."	Humildade na hora de julgar, cada um tem seu fardo a carregar.	A psicologia financeira	Housel, Morgan
Porém, o mais importante é que, para além de reconhecer o papel que a sorte desempenha em relação ao sucesso, o papel representado pelo risco significa que devemos nos perdoar e deixar um espaço para a compreensão ao julgar os fracassos. Nada é tão bom nem tão ruim quanto parece.	Nada é tão bom nem tão ruim quanto parece. Sempre lembramos da sorte e nos esquecemos do risco.	A psicologia financeira	Housel, Morgan
questão é: o teto da comparação social é tão alto que, em teoria, ninguém jamais será capaz de alcançá-lo. Portanto, é uma batalha que não pode ser vencida. Ou, talvez, a única maneira de vencê-la não envolva lutar, para começo de conversa, mas aceitar que você já tem o suficiente, ainda que seja menos do que os outros ao redor.	Não existe teto para comparação social. Não se compare.	A psicologia financeira	Housel, Morgan
O padrão de vida dos americanos aumentou vinte vezes nesses 170 anos, mas mal se passou um dia sem motivos palpáveis para o pessimismo.	Cabeça sempre no longo prazo, esqueça o curto prazo. Ignore o ruído.	A psicologia financeira	Housel, Morgan
O padrão de vida dos americanos aumentou vinte vezes nesses 170 anos, mas mal se passou um dia sem motivos palpáveis para o pessimismo.	Ignore ruídos, mantenha-se firme nos sistemas.	A psicologia financeira	Housel, Morgan
Para dar um exemplo mais recente: é provável que a forma como você se comportou enquanto investidor durante os meses no final de 2008 e início de 2009 tenha mais impacto sobre os seus rendimentos ao longo da vida do que tudo que você fez entre 2000 e 2008.	Momentos de baixa, sempre afiando o machado. Identificar tendências de mercado e possíveis caudas. Agir.	A psicologia financeira	Housel, Morgan
aceitar que são as caudas que orientam tudo nos negócios, nos investimentos e nas finanças, você percebe que é normal muitas coisas darem errado, quebrarem, fracassarem e despencarem.	As caudas orientam tudo nos negócios	A psicologia financeira	Housel, Morgan
Ao aceitar que são as caudas que orientam tudo nos negócios, nos investimentos e nas finanças, você percebe que é normal muitas coisas darem errado, quebrarem, fracassarem e despencarem.	Se prepare para os eventos de cauda, são eles que eliminam. Tenha margem.	A psicologia financeira	Housel, Morgan
Uma coisa que aprendi com investidores e empresários é que ninguém toma boas decisões o tempo inteiro. As pessoas mais admiráveis estão cheias de ideias pavorosas que frequentemente são postas em prática.	Existirão ideias boas e ruins, a maioria ruins, mas você só descobrirá testando-as. Tem que ser prático, tem que executar.   Toda decisão tomada hoje tornará uma decisão mais fácil amanhã.	A psicologia financeira	Housel, Morgan
Na reunião dos acionistas da Berkshire Hathaway, em 2013, Buffett disse que teve de quatrocentas a quinhentas ações durante a vida e que ganhou a maior parte do seu dinheiro com dez delas. Charlie Munger prosseguiu: “Se descontássemos alguns dos principais investimentos da Berkshire, o histórico de longo prazo da empresa seria bem mediano.”	Assimetria nos investimentos. Poucos investimentos bem feitos foram responsáveis pela maior parte do lucro da Berkshire Hathaway	A psicologia financeira	Housel, Morgan
Rockefeller era um sujeito esquisito. Mas ele descobriu algo que agora se aplica a dezenas de milhões de trabalhadores. O trabalho dele não era perfurar poços, carregar trens ou transportar barris. Era pensar e tomar boas decisões. O produto de Rockefeller — o que ele tinha a oferecer — não era o que ele fazia com as próprias mãos ou com as palavras. Era o que ele resolvia dentro da própria cabeça. Portanto, era a isso que ele dedicava a maior parte de seu tempo e sua energia.	Rockefeller era um gestor. Tome mais decisões e se acostume a tomar decisões.	A psicologia financeira	Housel, Morgan
Se o respeito e a admiração são o seu objetivo, tome cuidado com a forma como você corre atrás deles. Humildade, gentileza e empatia proporcionam mais respeito do que um motor de carro.	Humildade financeira	A psicologia financeira	Housel, Morgan
Fortuna são os carros de luxo não adquiridos. Os diamantes não comprados. Os relógios não usados, as roupas deixadas nas araras e o assento na primeira classe recusado. Fortuna são os ativos financeiros ainda não convertidos em coisas que podem ser vistas.	A fortuna vem dos luxos não adquiridos. Viva abaixo do seu padrão sempre. Investimento é em educação.	A psicologia financeira	Housel, Morgan
Praticar exercício é como ser rico. Você pensa: “Eu me esforcei, agora mereço uma bela refeição.” Fortuna é recusar aquela refeição deliciosa e de fato queimar calorias. Fazer isso é difícil, requer autocontrole.	Fortuna vem dos itens de luxo que você não compra. Você faz o esforço, então você utiliza de seu autocontrole para manter o benefício	A psicologia financeira	Housel, Morgan
O mundo está cheio de pessoas que parecem modestas, mas que, na verdade, possuem fortunas, e de pessoas que parecem ricas, mas que vivem no fio da navalha. Tenha isso em mente ao julgar precipitadamente o sucesso dos outros e ao definir os seus objetivos.	As fortunas são invisíveis.	A psicologia financeira	Housel, Morgan
Poupança e frugalidade — que equivalem à conservação e à eficiência nas finanças — são as variáveis da equação monetária que mais estão sob o seu controle, e cuja garantia de serem tão eficazes no futuro quanto são hoje é de 100%. Se você encarar a formação de riqueza como algo que exige mais dinheiro ou maiores retornos dos investimentos, pode acabar tão pessimista quanto os analistas estavam na década de 1970. O caminho a seguir parece difícil e fora do seu controle. Porém, se você encarar esse processo como algo movido pela sua frugalidade e sua eficiência, o destino se torna mais claro.	Pensando geração de riqueza pela via negativa.  Fortuna não é ganhar mais dinheiro, é poupar mais e consumir apenas o necessário.	A psicologia financeira	Housel, Morgan
Uma fortuna é simplesmente o que sobra depois que você gasta o que ganha. E, já que é possível acumular uma fortuna sem ter uma alta renda, mas é impossível acumular uma fortuna sem guardar dinheiro, fica claro qual das duas coisas é fundamental.	Guardar dinheiro é o caminho para fortuna.	A psicologia financeira	Housel, Morgan
Pessoas com um longo sucesso em finanças pessoais — não necessariamente aquelas com rendimentos mais altos — tendem a não dar a mínima para o que os outros pensam delas.	Seja uma âncora, os pensamentos dos outros não formam quem você é	A psicologia financeira	Housel, Morgan
Você pode guardar gastando menos. Você pode gastar menos se desejar menos. E vai desejar menos se não se importar tanto com o que os outros pensam de você.	Não compre coisas pensando nos outros. Ancore-se em você	A psicologia financeira	Housel, Morgan
Cada pedacinho de economia é como pegar um momento no futuro que seria de propriedade de outra pessoa e devolvê-lo a si mesmo.	Você recebe o dinheiro. Se não guardá-lo, tenha certeza que ele não será mais seu no futuro.	A psicologia financeira	Housel, Morgan
Aqui está ele: aceite a minha sugestão e ame os seus investimentos. Este não é um conselho típico. Investidores afirmam que não têm nenhuma relação emocional com seus investimentos como se eles fossem uma medalha de honra, porque parece algo racional. No entanto, se a ausência de relação emocional com a sua estratégia ou com as suas ações aumenta as chances de que você se afaste delas quando as coisas ficarem difíceis, o que parecia ser um pensamento racional se torna um problema. Investidores razoáveis que amam suas estratégias tecnicamente imperfeitas estão em vantagem, porque são mais propensos a se manterem fiéis a essas estratégias.	Confie na sua estratégia de investimentos. O longo prazo é soberano.	A psicologia financeira	Housel, Morgan
Poucas variáveis financeiras estão mais intimamente ligadas ao desempenho do que o comprometimento com uma estratégia durante os anos magros	Importa menos a rentabilidade de uma estratégia que do que a SUA consistência com ela em tempos difíceis.	A psicologia financeira	Housel, Morgan
Há um “viés doméstico”, bem documentado, que mostra que as pessoas preferem investir em empresas do país em que vivem, ignorando os outros mais de 95% do planeta. Isso não é racional, até o ponto em que você se dá conta de que investir é, efetivamente, dar o seu dinheiro para estranhos. Se a familiaridade o ajuda a dar o salto de fé necessário para continuar a apoiar esses estranhos, isso se torna razoável.	Invista no que te agrada.	A psicologia financeira	Housel, Morgan
Em momento nenhum você terá um grau de certeza tão grande que lhe permita apostar todas as fichas. O mundo não é generoso assim com ninguém	O momento ideal é o agora.	A psicologia financeira	Housel, Morgan
A história está repleta de boas ideias que foram levadas longe demais, o que faz com que sejam difíceis de distinguir das más ideias. A beleza da margem para imprevistos é que ela admite que a incerteza, a aleatoriedade e o acaso — “o desconhecido” — são parte integrante da vida. A única forma de lidar com eles é reduzindo a distância entre o que você acha que vai acontecer e o que é possível que aconteça, sem, no entanto, perder o poder de ação.	Abordagem parecida com a de Taleb sobre margens como medida de proteção contra imprevistos.	A psicologia financeira	Housel, Morgan
É preciso sobreviver para ter sucesso. Para repetir um ponto que enfatizamos algumas vezes neste livro: a capacidade de fazer o que quiser, quando quiser, por quanto tempo quiser, tem um retorno infinito.	Torne sua empresa antifrágil, a simples sobrevivência lhe garante robustez.	A psicologia financeira	Housel, Morgan
Uma regra válida para muitas coisas na vida é que tudo que pode quebrar um dia vai acabar quebrando. Portanto, se muitos fatores dependem do bom funcionamento de uma única coisa, e essa coisa pode quebrar, uma catástrofe é questão de tempo. Isso é um ponto único de falha. Algumas pessoas são notavelmente boas em evitar pontos únicos de falha.  - A maioria dos sistemas críticos de aviões possuem backups, e esses backups costumam ter os próprios backups.  - Os jatos modernos possuem quatro sistemas elétricos redundantes.  - Pontes suspensas também podem perder muitos de seus cabos sem desabar.    O maior ponto único de falha relacionado ao dinheiro é a dependência exclusiva de um contracheque para financiar seus gastos de curto prazo, sem nenhuma economia que preencha o espaço entre o que você acredita que serão suas despesas e o que elas podem vir a ser no futuro.	Tudo que pode quebrar um dia vai quebrar. Sempre tenha redundâncias para te proteger. O dinheiro é uma delas, se você tem 1 fonte de renda apenas, uma hora vai quebrar.	A psicologia financeira	Housel, Morgan
Por que você acha que 1% da população ganha cerca de 96% de todo o dinheiro que circula no mundo? Você acha que isso acontece por acaso? Muito pelo contrário. Essas pessoas compreenderam algo. O que elas compreenderam foi O Segredo, e agora você está sendo apresentado a ele.	Entenderam a abundância do universo, que podemos ter tudo, basta querer e ter a coragem e disposição de melhorar a cada dia.	O Segredo	Byrne, Rhonda
As pessoas que atraíram riqueza para as suas vidas utilizaram O Segredo, quer de forma consciente, quer inconsciente. Elas nutrem pensamentos de abundância e riqueza, e não permitem que nenhuma ideia que os contradiga crie raízes em suas mentes. Seus pensamentos são predominantemente voltados para a riqueza.	Evite a todo custo pensamentos que te limitem.	O Segredo	Byrne, Rhonda
Então, elas permitiram que pensamentos de medo de perder essa riqueza entrassem em suas mentes, até esses pensamentos de medo se tornarem predominantes. Elas deixaram que seus pensamentos de riqueza fossem substituídos por pensamentos de perda, e então perderam tudo. Mas, assim que sofreram essa perda, o medo de perder o que tinham desapareceu, e a riqueza voltou a predominar em seus pensamentos. E elas recuperaram sua riqueza.	Seus medos te impedem de conquistar o que deseja.	O Segredo	Byrne, Rhonda
A maneira mais simples de entender a lei da atração seria pensar em si mesmo como um ímã, pois sabemos que um ímã atrairá coisas para si.	Se você pensa e tem fé que terá um dia produtivo, tudo no seu dia estará alinhado com esse seu pensamento.	O Segredo	Byrne, Rhonda
Como você atrai aquilo em que mais pensa, é fácil perceber quais eram seus pensamentos dominantes em cada área da sua vida, pois foi exatamente isso que recebeu de volta.	Seu pensamento dita o que acontece com você. Só acontece o que você programou anteriormente na sua mente.	O Segredo	Byrne, Rhonda
O que a maioria das pessoas não sabe é que os pensamentos têm uma frequência. É possível medir um pensamento. Então, se você estiver pensando na mesma coisa repetidamente, se estiver imaginando em sua mente que tem um carro novo, o dinheiro de que precisa, que está fundando a empresa que deseja ter ou encontrando a sua alma gêmea... se estiver imaginando como seria isso, está emitindo essa frequência de forma consistente.	Visualizo o dinheiro que preciso, pois eu mereço, e tenho certeza que farei bom uso.	O Segredo	Byrne, Rhonda
O que você está pensando agora está criando a sua vida futura. Você cria sua vida com seus pensamentos. Como está sempre pensando, você está sempre criando. Aquilo em que mais pensa, ou aquilo em que mais se concentra, é o que irá se manifestar como a sua vida.	“O que você está pensando agora está criando a sua vida futura”	O Segredo	Byrne, Rhonda
Como todas as leis da natureza, essa lei é absolutamente perfeita. Você cria a sua vida. Você colhe o que semeia! Seus pensamentos são as sementes, e a sua colheita dependerá do tipo de sementes que você planta.	Lei da Atração	O Segredo	Byrne, Rhonda
Toda a sua vida mudou porque ele deixou de se concentrar no que não queria, no que lhe causava medo e no que queria evitar para se concentrar no que queria de fato.	Tire o foco do medo e coloque o foco no objetivo.	O Segredo	Byrne, Rhonda
Muitas vezes, quando começam a compreender o Grande Segredo, as pessoas se assustam ao perceber quantos pensamentos negativos carregam em suas cabeças. Elas precisam saber que foi cientificamente provado que um pensamento positivo é centenas de vezes mais poderoso do que um pensamento negativo. Só isso já elimina uma boa parcela de preocupação.	Pensar positivamente em todas as ocasiões.	O Segredo	Byrne, Rhonda
O outro lado da moeda é que você já possui boas emoções e bons sentimentos. Você sabe quando os tem porque eles fazem com que se sinta bem. Entusiasmo, alegria, gratidão, amor. Imagine se pudéssemos nos sentir assim todos os dias. Quando celebra os bons sentimentos, você atrai mais bons sentimentos e coisas que o farão se sentir bem.	Quem celebra os bons sentimentos cria um vínculo forte com eles, podendo recriá-los ao comando.	O Segredo	Byrne, Rhonda
Se você estiver se sentindo bem, então está criando um futuro que está em sintonia com os seus desejos. Se estiver se sentindo mal, está criando um futuro fora de sintonia com os seus desejos.	Estou muito bem, pensamento alinhado com o objetivo, mantendo a mente focada e criando casca necessária.	O Segredo	Byrne, Rhonda
por isso que, quando as pessoas começam a manhã dando uma topada no pé da cama, daí para a frente as coisas só pioram. O dia inteiro vai ladeira abaixo. Elas não fazem ideia que uma simples mudança em suas emoções pode mudar todo o seu dia – e toda a sua vida. Se você já começar o dia bem e estiver se sentindo particularmente feliz, desde que não permita que nada mude o seu humor, você continuará a atrair, de acordo com a lei da atração, mais situações e pessoas que sustentarão essa sensação de felicidade.	Não deixe que um pequeno momento ruim estrague seu dia, respire. O segredo está também na respiração.	O Segredo	Byrne, Rhonda
